クエリー,URL,カテゴリー,タイトル,サブタイトル,名前,年齢,性別,コメント
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,ヒロミニ(35315),40代,女性,"薄毛は加齢などでなるもの。まだ努力すればなんとかなりそう。ハゲは遺伝によったりするもので防ぎようがなさそう。"
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,よっちゃん(102),50代,男性,少ないのと無いのとの違い、自分も少ない
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,Hanna(47362),30代,女性,"薄毛は全体的に。ハゲは部分的に。段々薄くなってきたなとは思います"
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,まっぴ(16176),50代,男性,ハゲはツルツルで光っている感じで薄毛はその前段階です。私自身はまだどちらでもありません。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,キシリウム(48237),40代,男性,私のことかと思い心が痛くなる質問ですが・・・。薄毛：髪が細い・絶対量が少ない・自己肯定　　ハゲ：他人が決めること
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,かめちゃん(28615),50代,男性,薄毛はまだ髪の毛がある。ハゲはない。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,まいきゅー(42325),40代,女性,薄毛は髪自体に力がなくなって、弱く細くなってしまうこと。はげは髪がほぼ頭皮に残ってないこと。旦那は異常に毛量が多おいです。私が薄毛。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,こだま(2185),50代,女性,薄毛は幼少期から髪の毛がそんなに多めではないタイプだと思います。全体的にすっきりしている感じ。ハゲは昔はあったけれど年々少なくなっていくタイプ。うちの夫は後者です。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,ちー(35098),40代,女性,薄毛は元々の髪の量や髪が細くて少なく見えるもの。禿げはあったものが減っている、またはない状態ではないでしょうか。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,highlight(11777),40代,女性,薄毛は毛が細く、全体的にほわっと生えてうすーい感じ。ハゲは生えてない。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,JUNK(40669),30代,男性,全くないと毛の量が減っている
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,nontan501(2331),40代,女性,薄毛は毛の密度がまばら、ハゲは毛がない。主人はどちらでもないです。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,ちばお(44403),40代,男性,本人次第ではないでしょうか・・・
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,milhisyku43f(12965),40代,男性,薄毛は毛が少し。ハゲは毛がないところがある。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,xingzi(16152),40代,女性,薄毛は毛が少ないハゲは毛がない
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,サブロー(18857),50代,男性,単位面積当たりの毛量なんではないでしょうか。感覚になりますが、半分以上髪の毛がなくなったら（実際は薄毛でもいいのに）確実にハゲと呼ばれるような気がします。自分は薄毛になりつつあります。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,ウエジュ(8480),50代,男性,薄毛　若干髪がある　　　はげ　髪のがない
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,めけ(44921),30代,女性,薄毛は髪の密度が少ない、ハゲは髪が完全に生えてこない部分があることだと思います。主人はどちらにも当てはまりません。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,クロコ(35852),40代,女性,薄毛は毛の量が少ないこと、ハゲは毛がないこと、だと思います。　夫はちょっと薄毛になってきました。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,ビーム(15673),30代,男性,薄毛はまだ髪がある、ハゲは完全に髪が無い状態
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,けさらんぱさらん(18001),50代,男性,ハゲは一部にしろ、髪がない状態。薄毛は少ない状態。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,あゆ(45041),30代,女性,薄毛は髪質、禿は髪が抜ける
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,くろいし(42219),50代,女性,薄毛はまばらな感じ。禿げは生えてこない感じ。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,おかしげ(28538),50代,男性,薄毛です。ハゲは部分的から全体に髪がない状態。薄毛は文字通り、髪が薄い状態。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,なみへい(36241),50代,男性,髪の密度が少なくなってきたものと完全になくなってしまったものとの違い。年相応には薄くなってきました。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,fiEsTaR(28504),60代,男性,薄毛は密度が粗いだけ、禿げは毛根から抜けてしまって生えてこない状態　パートナーはどちらでもありません。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,ショコラン(1151),30代,女性,禿げは完全に怪我無い部分が目立ってきている感じ。薄毛は髪の毛の密度が低くなり地肌が透けて見える感じ
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,mat002(16167),60代,男性,ハゲは毛が無くなった状態少しあれば薄毛私は後者
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,がっつり(4903),60代,女性,私は全体に薄めになってきた。主人は禿げています。部分のことだと思いますが。
ハゲ,https://milltalk.jp/boards/25354,医療、薬、健康食品,薄毛とハゲの違い,薄毛とハゲの違いってなんだと思いますか？またご自身、またはパートナーはどちらかに当てはまりますか？,かと(14549),30代,女性,言い方の違いだと思います。今のところどちらも当てはまりません。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,atyo29(11682),30代,女性,女なので、ウィッグで楽しみます。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ぜんさん(4460),40代,男性,"丸刈りにして終わりです。隠す必要も無いし、誤魔化す事も無いです。"
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,highlight(11777),40代,女性,甘んじて受け入れる。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ポッポ(7853),50代,女性,ウィッグをつけたい。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ジンベイザメ(3580),20代,女性,ウイッグを被りつつ植毛します。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,よしお(13486),30代,男性,どうもしません。そのまんま。延命措置もしません。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,れむ(4766),40代,女性,帽子をかぶる。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ゆうこりん３９(1896),50代,女性,自分はウィッグを買いますが、相手がはげたらそのままで良いかなと。中途半端より潔くはげてくれた方が楽。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,礼聖(9698),50代,女性,カツラでしょうか、今､ばれないのが多く出ていて、昔みたいに風にのって飛んで行く事も無いと思いますので
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,よっちゃん(102),50代,男性,ありのまま
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,みゆ(2683),40代,女性,ウィッグをつけることを考えます。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,tgrn(8837),30代,女性,初期段階ならウイッグを、カバーできる限度を超えたらカツラを、末期なら潔くハゲおばさんとしてSNSで人気者目指す。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ユウ(11462),40代,女性,とりあえずの努力はしてみて、駄目なら諦めますね(笑)今はウィッグとか良いものがありますから。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ＬＯＶＥ(2294),30代,男性,中途半端に毛が残る状態なら、剃るなりして整えます。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,マリー(11303),50代,女性,ウィッグです。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,gokigenn(1669),30代,男性,全部剃ります。部分的にとか、前髪とかが後退するぐらいなら、思い切って坊主にします。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,kasei(2162),70代,男性,ヘアースタイルをスキンヘッドに徹底させます。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ショコラン(1151),30代,女性,一応、出来る限りの抵抗（育毛剤や頭皮マッサージ等）を試みます。それでも無理なら仕方ないですね。外出時は帽子をかぶるなど多少は隠そうとするかもですが、基本は受け入れるしかないと思います。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,デザイン・ん(11376),40代,女性,育毛剤かリーブ21とか、発毛のところを考える気がします
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,にこちゃん(13693),30代,女性,そのまま
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,しゅうさん(3697),40代,男性,"ハゲたらたぶんハゲっぱなしだと思います。お金もかかると思うので。多少の抵抗はすると思いますが。ｗ"
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,こだま(2185),50代,女性,娘の友達がカツラの会社に就職したので、もしものときは相談するかも。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,まる(9366),50代,女性,母と弟がはげてます。はげたくないので努力してますが、もしもの時はウィッグを買います。オーダーメイドで自然に見えるのがいいです。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,いけ(1833),40代,男性,潔く坊主にします
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,KIKS(12696),20代,男性,はげ具合にもよるけど、坊主にすると思う。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,tomorin(11611),40代,女性,主人はスキンヘッドでもいいかなと。　自分は・・ウィッグでしょうか。　髪は長〜く友達でいてほしいです。（ＣＭの、抜け始めてわかる、髪は長〜いお友達というアナウンス、凄いなと、最近思います。）
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ほこり(13272),40代,男性,男性の場合、ハゲは母方の祖父の影響を受けやすいそうですね。遺伝には逆らえないので諦めるしかないと思います。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,kaz(3946),50代,男性,あきらめて自然の成り行きに任せます。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,くまじろう(1810),40代,男性,もしもハゲげたらスキンヘッドにしたい。
ハゲ,https://milltalk.jp/boards/9924,ライフスタイル,ハゲたらどうしますか？,具体的に教えてください。,ほにゃ(9135),20代,女性,毛髪に優しいシャンプーとオシャレな帽子を購入。さらに、不自然ではないようなウィッグを買いに行きます。
